,resid_rel
0,0.03769534452838712
1,-0.09337633247112029
2,-0.04868884398774866
3,-0.01588336023632225
4,-0.1471038273646208
5,-0.08651107659733384
6,-0.007732293900262105
7,0.027052871490892777
8,-0.03401327888897062
9,0.05969453564305943
10,-0.015192266638287356
11,-0.012778792517358863
12,0.19933286358468388
13,0.04938204704795272
14,-0.08835995650016473
15,-0.03399472744168914
16,-0.04281670690406874
17,0.018301319535531883
18,-1.2120838980157827e-05
19,-0.010835406470090318
20,0.01612142114505767
