t,resid_rel
2021-01-01,0.0006588876894585513
2021-04-01,-0.027014677492074025
2021-07-01,0.06448082690890439
2021-10-01,0.043444650179083145
2022-01-01,0.020619917760239827
2022-04-01,0.026471020329526206
2022-07-01,-0.08247424579145825
2022-10-01,-0.011156187903466888
2023-01-01,0.02029445226540948
2023-04-01,0.02724867233482287
2023-07-01,0.030012949714767877
2023-10-01,-0.035610490256494765
2024-01-01,0.020591993160516534
2024-04-01,-0.03438676748476509
2024-07-01,-0.021064455899085326
2024-10-01,0.006771447135988267
2025-01-01,-0.04993211394281408
2025-04-01,0.012761505395537928
2025-07-01,0.0364787549398337
2025-10-01,0.01035690260853801
2026-01-01,-0.0004909999348011928
